Plant_sp_paper	Plant_name_accepted	Plant_sp_current	Plant_genus_current	Plant_family_current	life_form	fruit_type	husk	color	color_code	fruit_le_cm	fruit_wd_cm	seed_le_cm	seed_wd_cm	seed_diam_cm	n_seeds
Clusia_renggeriodes	Clusia_renggerioides	Clusia_renggerioides	Clusia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clusia_sp	Clusia	sp	Clusia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clusia_viscida	Clusia_viscida	Clusia_viscida	Clusia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clusiaceae_sp	Clusiaceae	sp	Clusiaceae	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Garcinia_acuminata	Garcinia_acuminata	Garcinia_acuminata	Garcinia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Garcinia_benthamiana	Garcinia_benthamiana	Garcinia_benthamiana	Garcinia	Clusiaceae	tree	berry	P	yellow	F	2	2	NA	NA	NA	2
Garcinia_brasiliensis	Garcinia_brasiliensis	Garcinia_brasiliensis	Garcinia	Clusiaceae	tree	berry	P	orange	F	4.49	3.79	2.6	2.249	2.249	1
Garcinia_edulis	Garcinia_buchneri	Garcinia_buchneri	Garcinia	Clusiaceae	tree	berry	P	yellow	F	2	1.9	NA	NA	NA	1
Garcinia_gardneriana	Garcinia_gardneriana	Garcinia_gardneriana	Garcinia	Clusiaceae	tree	berry	P	yellow	F	3.5	2.8	2.7	1.4	1.4	1
Garcinia_intermedia	Garcinia_intermedia	Garcinia_intermedia	Garcinia	Clusiaceae	tree	berry	P	yellow	F	2	2	NA	1.1	1.1	1
Garcinia_leptophylla	Garcinia_leptophylla	Garcinia_leptophylla	Garcinia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Garcinia_macrophylla	Garcinia_macrophylla	Garcinia_macrophylla	Garcinia	Clusiaceae	tree	berry	P	orange	F	6.5	5	1.8	2.75	2.75	4
Garcinia_madruno	Garcinia_madruno	Garcinia_madruno	Garcinia	Clusiaceae	tree	berry	P	yellow	F	3.75	3.25	1.9	1.3	1.3	4
Garcinia_microphylla	Garcinia_microphylla	Garcinia_microphylla	Garcinia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Havetiopsis_flexilis	Clusia_flavida	Clusia_flavida	Clusia	Clusiaceae	tree	capsule	A	red_green	A_C	0.8	0.5	0.4	0.18	0.18	5
Moronobea_coccinea	Moronobea_coccinea	Moronobea_coccinea	Moronobea	Clusiaceae	NA	NA	NA	NA	NA	4	3	3.5	2.5	2.5	NA
Moronobea_sp	Moronobea	sp	Moronobea	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platonia_insignis	Platonia_insignis	Platonia_insignis	Platonia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhamdia_sp	Garcinia	sp	Garcinia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rheedia_acuminata	Garcinia_madruno	Garcinia_madruno	Garcinia	Clusiaceae	tree	berry	P	yellow	F	3.75	3.26	1.9	1.3	1.3	5
Rheedia_benthamiana	Garcinia_benthamiana	Garcinia_benthamiana	Garcinia	Clusiaceae	tree	berry	P	yellow	F	2	2	NA	NA	NA	2
Rheedia_edulis	Garcinia_intermedia	Garcinia_intermedia	Garcinia	Clusiaceae	tree	berry	P	yellow	F	2	2	NA	1.1	1.1	1
Rheedia_gardneriana	Garcinia_brasiliensis	Garcinia_brasiliensis	Garcinia	Clusiaceae	tree	berry	P	orange	F	4.49	3.79	2.6	2.249	2.249	1
Rheedia_gardneriana	Garcinia_gardneriana	Garcinia_gardneriana	Garcinia	Clusiaceae	tree	berry	P	yellow	F	3.5	2.8	2.7	1.4	1.4	1
Rheedia_macrophylla	Garcinia_macrophylla	Garcinia_macrophylla	Garcinia	Clusiaceae	tree	berry	P	orange	F	6.5	5	1.8	2.75	2.75	4
Rheedia_madruno	Garcinia_madruno	Garcinia_madruno	Garcinia	Clusiaceae	tree	berry	P	yellow	F	3.75	3.27	1.9	1.3	1.3	6
Rheedia_sp	Garcinia	sp	Garcinia	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Symphonia_globulifera	Symphonia_globulifera	Symphonia_globulifera	Symphonia	Clusiaceae	tree	drupe	P	red	F	3.9	3.7	3.1	2.2	2.2	1
Tovomita_brasiliensis	Tovomita_brasiliensis	Tovomita_brasiliensis	Tovomita	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tovomita_plumieri	Tovomita_plumieri	Tovomita_plumieri	Tovomita	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	3.9	1.5	1.5	NA
Tovomita_sp	Tovomita	sp	Tovomita	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tovomitopsis_paniculata	Tovomitopsis_paniculata	Tovomitopsis_paniculata	Tovomitopsis	Clusiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_capitata	Terminalia_tetraphylla	Terminalia_tetraphylla	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_congesta	Terminalia_congesta	Terminalia_congesta	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_fanshawei	Terminalia_fanshawei	Terminalia_fanshawei	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_grandis	Terminalia_grandis	Terminalia_grandis	Terminalia	Combretaceae	NA	berry	A	orange	F	3.2	2.8	2	1.1	1.1	2
Buchenavia_guianensis	Terminalia_aubletii	Terminalia_aubletii	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_hoehneana	Terminalia_hoehneana	Terminalia_hoehneana	Terminalia	Combretaceae	NA	NA	NA	NA	NA	2.75	1.75	NA	NA	NA	NA
Buchenavia_kleinii	Terminalia_kleinii	Terminalia_kleinii	Terminalia	Combretaceae	NA	NA	NA	NA	NA	2.25	1.13	2	1	1	NA
Buchenavia_macrophylla	Terminalia_macrophylla	Terminalia_macrophylla	Terminalia	Combretaceae	NA	berry	A	yellow	F	2.9	2.6	NA	NA	NA	NA
Buchenavia_parviflora	Terminalia_parvifolia	Terminalia_parvifolia	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_parvifolia	Terminalia_parvifolia	Terminalia_parvifolia	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_sp	Terminalia	sp	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_tetraphylla	Terminalia_tetraphylla	Terminalia_tetraphylla	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buchenavia_tomentosa	Terminalia_corrugata	Terminalia_corrugata	Terminalia	Combretaceae	NA	NA	NA	NA	NA	3	2.2	2	1	1	NA
Buchenavia_viridiflora	Terminalia_viridiflora	Terminalia_viridiflora	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Combretum_alternifolium	Combretum_decandrum	Combretum_decandrum	Combretum	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Combretum_farinosum	Combretum_farinosum	Combretum_farinosum	Combretum	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Combretum_fruticosum	Combretum_fruticosum	Combretum_fruticosum	Combretum	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Combretum_laxum	Combretum_laxum	Combretum_laxum	Combretum	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Combretum_pyramidatum	Combretum_pyramidatum	Combretum_pyramidatum	Combretum	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Combretum_sp	Combretum	sp	Combretum	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Laguncularia_racemosa	Laguncularia_racemosa	Laguncularia_racemosa	Laguncularia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terminalia_catappa	Terminalia_catappa	Terminalia_catappa	Terminalia	Combretaceae	NA	drupe	P	green	F	4.6	3.9	3	2.8	2.8	1
Terminalia_sp	Terminalia	sp	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Terminalia_tetraphylla	Terminalia_tetraphylla	Terminalia_tetraphylla	Terminalia	Combretaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tradescantia_sp	Tradescantia	sp	Tradescantia	Commelinaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Connarus_grandifolius	Connarus_grandifolius	Connarus_grandifolius	Connarus	Connaraceae	NA	capsule	P	NA	NA	NA	NA	NA	NA	NA	NA
Rourea_camptoneura	Rourea_camptoneura	Rourea_camptoneura	Rourea	Connaraceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rourea_glabra	Rourea_glabra	Rourea_glabra	Rourea	Connaraceae	liana/shrub	capsule	A	black_orange	S_C	1.6	0.7	NA	1.3	1.3	1
Cayponia_sp	Erycibe	sp	Erycibe	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicranostyles_ampla	Dicranostyles_ampla	Dicranostyles_ampla	Dicranostyles	Convolvulaceae	liana	berry	P	black	F	2.7	1.5	NA	1.5	1.5	1
Dicranostyles_densa	Dicranostyles_densa	Dicranostyles_densa	Dicranostyles	Convolvulaceae	liana	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicranostyles_laxa	Dicranostyles_laxa	Dicranostyles_laxa	Dicranostyles	Convolvulaceae	liana	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicranostyles_scandens	Dicranostyles_scandens	Dicranostyles_scandens	Dicranostyles	Convolvulaceae	liana	berry	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dicranostyles_sp	Dicranostyles	sp	Dicranostyles	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ipomoea_alba	Ipomoea_alba	Ipomoea_alba	Ipomoea	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ipomoea_sp	Ipomoea	sp	Ipomoea	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lysiostyles_scandens	Lysiostyles_scandens	Lysiostyles_scandens	Lysiostyles	Convolvulaceae	liana	berry	A	brown	F	2.7	2.3	NA	1.7	1.7	1
Maripa_glabra	Maripa_glabra	Maripa_glabra	Maripa	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maripa_nicaraguensis	Maripa_nicaraguensis	Maripa_nicaraguensis	Maripa	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maripa_panamensis	Maripa_panamensis	Maripa_panamensis	Maripa	Convolvulaceae	liana	berry	P	black	F	NA	NA	NA	NA	NA	NA
Maripa_paniculata	Maripa_paniculata	Maripa_paniculata	Maripa	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maripa_peruviana	Maripa_peruviana	Maripa_peruviana	Maripa	Convolvulaceae	liana	berry	P	black	F	1.9	1.3	NA	1.5	1.5	1
Maripa_scandens	Maripa_scandens	Maripa_scandens	Maripa	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maripa_sp	Maripa	sp	Maripa	Convolvulaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marupa_peruviana	Maripa_peruviana	Maripa_peruviana	Maripa	Convolvulaceae	liana	berry	P	black	F	1.9	1.3	NA	1.5	1.5	1
Merremia_dissecta	Merremia_dissecta	Merremia_dissecta	Merremia	Convolvulaceae	liana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coriaria_ruscifolia	Coriaria_ruscifolia	Coriaria_ruscifolia	Coriaria	Coriariaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cornus_disciflora	Cornus_disciflora	Cornus_disciflora	Cornus	Cornaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marliera_sp	Alangium	sp	Alangium	Cornaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clusiaceae_sp	Corsiaceae	sp	Corsiaceae	Corsiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Costus_spiralis	Costus_spiralis	Costus_spiralis	Costus	Costaceae	NA	NA	A	red	F	NA	NA	NA	NA	NA	NA
Anguria_sp	Citrullus	sp	Citrullus	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caiaponia_sp	Cayaponia	sp	Cayaponia	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calycophysum_pedunculatum	Calycophysum_pedunculatum	Calycophysum_pedunculatum	Calycophysum	Cucurbitaceae	NA	berry	P	yellow	F	6.4	3.9	NA	NA	NA	NA
Cayaponia_granatensis	Cayaponia_granatensis	Cayaponia_granatensis	Cayaponia	Cucurbitaceae	liana	berry	P	red	F	3.2	2.4	NA	1.7	1.7	1
Cayaponia_ophthalmica	Cayaponia_ophthalmica	Cayaponia_ophthalmica	Cayaponia	Cucurbitaceae	liana	berry	P	red	F	3.5	2.5	NA	1.7	1.7	1
Cayaponia_sp	Cayaponia	sp	Cayaponia	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cayponia_ophtalmica	Cayaponia_ophthalmica	Cayaponia_ophthalmica	Cayaponia	Cucurbitaceae	liana	berry	P	red	F	3.5	2.5	NA	1.7	1.7	1
Cayponia_sp	Cayaponia	sp	Cayaponia	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cucumis_sp	Cucumis	sp	Cucumis	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cucurbita_foetidissima	Cucurbita_foetidissima	Cucurbita_foetidissima	Cucurbita	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gurania_acuminata	Gurania_acuminata	Gurania_acuminata	Gurania	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gurania_lobata	Gurania_lobata	Gurania_lobata	Gurania	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gurania_sp	Gurania	sp	Gurania	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melancium_campestre	Melothria_campestris	Melothria_campestris	Melothria	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melothria_cucumis	Melothria_cucumis	Melothria_cucumis	Melothria	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Memordica_charantia	Momordica_charantia	Momordica_charantia	Momordica	Cucurbitaceae	NA	NA	NA	NA	NA	4.5	2.5	0.8	0.5	0.5	10
Momordica_charantia	Momordica_charantia	Momordica_charantia	Momordica	Cucurbitaceae	NA	NA	NA	NA	NA	4.5	2.5	0.8	0.5	0.5	10
Psiguria_umbrosa	Psiguria_umbrosa	Psiguria_umbrosa	Psiguria	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wilbrandia_hibiscoides	Wilbrandia_hibiscoides	Wilbrandia_hibiscoides	Wilbrandia	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wilbrandia_sp	Wilbrandia	sp	Wilbrandia	Cucurbitaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Weinmannia_trianaea	Weinmannia_trianaea	Weinmannia_trianaea	Weinmannia	Cunoniaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asplundia_peruviana	Asplundia_peruviana	Asplundia_peruviana	Asplundia	Cyclanthaceae	Herb	berry	A	yellow	I	12.5	3	NA	0.18	0.18	100
Asplundia_sp	Asplundia	sp	Asplundia	Cyclanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asplundia_vagans	Asplundia_vagans	Asplundia_vagans	Asplundia	Cyclanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carludovica_palmata	Carludovica_palmata	Carludovica_palmata	Carludovica	Cyclanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclanthus_bipartitus	Cyclanthus_bipartitus	Cyclanthus_bipartitus	Cyclanthus	Cyclanthaceae	Herb	berry	A	green	I	10	3.75	NA	0.2	0.2	100
Cyclanthus_sp	Cyclanthus	sp	Cyclanthus	Cyclanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Evodianthus_funifer	Evodianthus_funifer	Evodianthus_funifer	Evodianthus	Cyclanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ludovia_lancifolia	Ludovia_lancifolia	Ludovia_lancifolia	Ludovia	Cyclanthaceae	Herb	berry	A	yellow	I	NA	NA	NA	NA	NA	100
Ludovia_lancifolia	Ludovia_lancifolia	Ludovia_lancifolia	Ludovia	Cyclanthaceae	Herb	berry	A	yellow	I	NA	NA	NA	NA	NA	101
Stelestys_surinamensis	Stelestylis_surinamensis	Stelestylis_surinamensis	Stelestylis	Cyclanthaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thoracocarpus_bissectus	Thoracocarpus_bissectus	Thoracocarpus_bissectus	Thoracocarpus	Cyclanthaceae	liana	berry	A	green	I	6	3.9	NA	NA	NA	100
Chamaesyse_sp	Eleocharis	sp	Eleocharis	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyperus_diffusus	Cyperus_diffusus	Cyperus_diffusus	Cyperus	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyperus_distans	Cyperus_distans	Cyperus_distans	Cyperus	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyperus_sp	Cyperus	sp	Cyperus	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fimbristylis_dichotoma	Fimbristylis_dichotoma	Fimbristylis_dichotoma	Fimbristylis	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypolytrum_schraderianum	Hypolytrum_schraderianum	Hypolytrum_schraderianum	Hypolytrum	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kyllingia_breviflora	Cyperus_brevifolius	Cyperus_brevifolius	Cyperus	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhynchospora_pubera	Rhynchospora_pubera	Rhynchospora_pubera	Rhynchospora	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scleria_macrophylla	Scleria_macrophylla	Scleria_macrophylla	Scleria	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	0.5	0.3	0.3	NA
Scleria_melaleuca	Scleria_gaertneri	Scleria_gaertneri	Scleria	Cyperaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tapura_amazonica	Tapura_amazonica	Tapura_amazonica	Tapura	Dichapetalaceae	tree	drupe	P	yellow	F	2.28	1.86	1.9	1.1	1.1	1
Tapura_coriacea	Tapura_coriacea	Tapura_coriacea	Tapura	Dichapetalaceae	tree	drupe	P	yellow	F	NA	NA	NA	1.83	1.83	1
Tapura_juruana	Tapura_juruana	Tapura_juruana	Tapura	Dichapetalaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Curatella_americana	Curatella_americana	Curatella_americana	Curatella	Dilleniaceae	NA	capsule	A	white_green	A_C	2.48	1.89	0.5	0.4	0.4	2
Davila_nitida	Davilla_nitida	Davilla_nitida	Davilla	Dilleniaceae	shrub	capsule	P	white_yellow	A_C	0.6	0.6	NA	0.25	0.25	1
Davilla_elliptica	Davilla_elliptica	Davilla_elliptica	Davilla	Dilleniaceae	NA	NA	NA	NA	NA	0.82	0.77	0.56	0.43	0.43	1
Davilla_nitida	Davilla_nitida	Davilla_nitida	Davilla	Dilleniaceae	shrub	capsule	P	white_yellow	A_C	0.6	0.6	NA	0.25	0.25	1
Davilla_rugosa	Davilla_rugosa	Davilla_rugosa	Davilla	Dilleniaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Doliocarpus_dentatus	Doliocarpus_dentatus	Doliocarpus_dentatus	Doliocarpus	Dilleniaceae	NA	capsule	P	red	F	0.7	0.67	0.54	0.38	0.38	1
Doliocarpus_mojov	Doliocarpus_major	Doliocarpus_major	Doliocarpus	Dilleniaceae	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA	NA
Doliocarpus_olivaceus	Doliocarpus_olivaceus	Doliocarpus_olivaceus	Doliocarpus	Dilleniaceae	NA	NA	NA	NA	NA	1.75	NA	NA	NA	NA	NA
Doliocarpus_sp	Doliocarpus	sp	Doliocarpus	Dilleniaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pinzona_coriacea	Pinzona_coriacea	Pinzona_coriacea	Pinzona	Dilleniaceae	liana	capsule	P	red	F	0.5	0.8	NA	NA	NA	2
Soracea_sp	Doliocarpus	sp	Doliocarpus	Dilleniaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tetracera_sp	Tetracera	sp	Tetracera	Dilleniaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dioscorea_acanthogene	Dioscorea_acanthogene	Dioscorea_acanthogene	Dioscorea	Dioscoreaceae	NA	NA	NA	NA	NA	NA	NA	NA	0.8	0.8	NA
Dioscorea_latiflora	Dioscorea_bulbifera	Dioscorea_bulbifera	Dioscorea	Dioscoreaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Swartzia_sp	Distichium	sp	Distichium	Distichiaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_bullata	Diospyros_bullata	Diospyros_bullata	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_calvacantei	Diospyros_cavalcantei	Diospyros_cavalcantei	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_coccolobifolia	Diospyros_coccolobifolia	Diospyros_coccolobifolia	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_discolor	Diospyros_blancoi	Diospyros_blancoi	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_discolor	Diospyros_discolor	Diospyros_discolor	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_hispida	Diospyros_lasiocalyx	Diospyros_lasiocalyx	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	6	NA	NA	2	2	NA
Diospyros_ierensis	Diospyros_cayennensis	Diospyros_cayennensis	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_inconstans	Diospyros_inconstans	Diospyros_inconstans	Diospyros	Ebenaceae	tree	berry	A	purple	F	2.1	2	1.87	0.87	0.87	2
Diospyros_kaki	Diospyros_kaki	Diospyros_kaki	Diospyros	Ebenaceae	tree	berry	A	red	F	5	6.5	NA	1.1	1.1	2
Diospyros_nicaraguensis	Diospyros_acapulcensis_subsp._nicaraguensis	Diospyros_acapulcensis	Diospyros	Ebenaceae	tree	berry	A	orange	F	1.9	1.9	NA	NA	NA	2
Diospyros_nigra	Diospyros_nigra	Diospyros_nigra	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_pavoni	Diospyros_inconstans_subsp._psidioides	Diospyros_inconstans	Diospyros	Ebenaceae	tree	berry	A	purple	F	2.1	2	1.87	0.87	0.87	2
Diospyros_poeppigiana	Diospyros_poeppigiana	Diospyros_poeppigiana	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diospyros_sp	Diospyros	sp	Diospyros	Ebenaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aristotelia_chilensis	Aristotelia_chilensis	Aristotelia_chilensis	Aristotelia	Elaeocarpaceae	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	2
Elaeocarpaceae_sp	Elaeocarpaceae	sp	Elaeocarpaceae	Elaeocarpaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sloaena_terniflora	Sloanea_terniflora	Sloanea_terniflora	Sloanea	Elaeocarpaceae	tree	berry	P	red	F	2.2	2	1.9	1.6	1.6	1
Sloanea_durissima	Sloanea_durissima	Sloanea_durissima	Sloanea	Elaeocarpaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sloanea_garckeana	Sloanea_garckeana	Sloanea_garckeana	Sloanea	Elaeocarpaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sloanea_guianensis	Sloanea_guianensis	Sloanea_guianensis	Sloanea	Elaeocarpaceae	tree	capsule	P	red	F	1.47	1.31	1.07	0.68	0.68	1
Sloanea_hirsuta	Sloanea_hirsuta	Sloanea_hirsuta	Sloanea	Elaeocarpaceae	NA	NA	NA	NA	NA	2.35	2.15	1.6	0.77	0.77	1
Sloanea_monosperma	Sloanea_hirsuta	Sloanea_hirsuta	Sloanea	Elaeocarpaceae	NA	NA	NA	NA	NA	2.35	2.15	1.6	0.77	0.77	1
Sloanea_monosperma	Sloanea_hirsuta_subsp._hirsuta	Sloanea_hirsuta	Sloanea	Elaeocarpaceae	NA	NA	NA	NA	NA	2.35	2.15	1.6	0.77	0.77	1
Sloanea_sp	Sloanea	sp	Sloanea	Elaeocarpaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sloanea_terniflora	Sloanea_terniflora	Sloanea_terniflora	Sloanea	Elaeocarpaceae	tree	berry	P	red	F	2.2	2	1.9	1.6	1.6	1
Sloania_laurifolia	Sloanea_laurifolia	Sloanea_laurifolia	Sloanea	Elaeocarpaceae	tree	capsule	P	red	F	1.47	1.31	1.07	0.68	0.68	1
Ceratostema_alatum	Ceratostema_alatum	Ceratostema_alatum	Ceratostema	Ericaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Disterigma_empetrifolium	Disterigma_empetrifolium	Disterigma_empetrifolium	Disterigma	Ericaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Empetrum_nigrum	Empetrum_nigrum	Empetrum_nigrum	Empetrum	Ericaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gaylussacia_brasiliensis	Gaylussacia_brasiliensis	Gaylussacia_brasiliensis	Gaylussacia	Ericaceae	NA	NA	NA	NA	NA	1	0.8	0.25	0.1	0.1	9
Gaylussacia_pulchra	Gaylussacia_pulchra	Gaylussacia_pulchra	Gaylussacia	Ericaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
